,States,2001-ym,2002-ym,2003-ym,2004-ym
0,Alabama,612272,612065,615304,616558
1,Alaska,95710,97780,98777,101751
2,Arizona,786064,802039,813224,830694
3,Arkansas,372252,373504,376406,378890
4,California,5292939,5331315,5348060,5387248
5,Colorado,692185,700997,695850,699800
6,Connecticut,428318,432308,434979,436718
7,Delaware,107999,108797,110210,111682
8,District of Columbia,91376,90589,89881,90636
9,Florida,2089907,2131027,2176816,2240186
10,Georgia,1288923,1291164,1286926,1310698
11,Hawaii,179176,181132,180907,181945
12,Idaho,195555,197355,200526,204669
13,Illinois,1812042,1808277,1804356,1809026
14,Indiana,869383,868785,873260,874209
15,Iowa,403532,403239,404430,404636
16,Kansas,386932,388842,388140,389263
17,Kentucky,576932,575847,573191,578141
18,Louisiana,639772,642862,643305,650605
19,Maine,157841,159065,161024,161043
20,Maryland,706835,714915,723436,731761
21,Massachusetts,867724,867615,866210,861684
22,Michigan,1373454,1370705,1370642,1363311
23,Minnesota,703493,707969,712942,713918
24,Mississippi,410692,409349,408129,409082
25,Missouri,768302,773661,778512,785279
26,Montana,120900,121863,124236,125969
27,Nebraska,245527,246760,248507,249530
28,Nevada,305433,313172,321705,335100
29,New Hampshire,159690,161116,162455,162587
30,New Jersey,1107162,1110228,1114046,1116615
31,New Mexico,255051,260275,265591,270510
32,New York,2640608,2640938,2645275,2639083
33,North Carolina,1207966,1209376,1190964,1207501
34,North Dakota,94673,95045,96152,98520
35,Ohio,1532198,1531574,1533336,1528506
36,Oklahoma,500322,504880,503824,508703
37,Oregon,492925,499335,501919,500818
38,Pennsylvania,1578218,1584408,1596374,1603043
39,Rhode Island,142760,144498,144994,146550
40,South Carolina,574439,578570,579500,589633
41,South Dakota,106255,106790,107707,108840
42,Tennessee,807446,806926,805319,815575
43,Texas,3313561,3367331,3394139,3430628
44,Utah,398575,405992,410567,415415
45,Vermont,79983,80844,81289,81351
46,Virginia,1032211,1035479,1041466,1054230
47,Washington,867298,875780,877414,877613
48,West Virginia,236975,237209,237529,236163
49,Wisconsin,751964,755700,759490,761718
50,Wyoming,70452,71586,72196,73375
