,States,1997-ym,1998-ym,1999-ym
0,Alabama,623964,622643,617720
1,Alaska,93769,93669,93835
2,Arizona,725687,739396,754813
3,Arkansas,367164,368121,369479
4,California,5101908,5136632,5174683
5,Colorado,622249,636758,655422
6,Connecticut,445702,437942,431758
7,Delaware,107490,107227,107294
8,District of Columbia,92602,91808,91648
9,Florida,2005191,2018607,2031433
10,Georgia,1215704,1234460,1253300
11,Hawaii,183544,182339,177748
12,Idaho,182543,185904,189175
13,Illinois,1810233,1810877,1807438
14,Indiana,872614,870304,868570
15,Iowa,405818,404944,404530
16,Kansas,381374,383301,384528
17,Kentucky,578906,578191,577554
18,Louisiana,648936,646473,643541
19,Maine,162596,160212,158750
20,Maryland,716260,708334,702918
21,Massachusetts,891159,880644,871580
22,Michigan,1399551,1388828,1379314
23,Minnesota,687393,687575,691233
24,Mississippi,412169,413161,412101
25,Missouri,765837,762332,761743
26,Montana,118926,118692,118977
27,Nebraska,242707,243029,243322
28,Nevada,266308,276338,285780
29,New Hampshire,158882,157818,157453
30,New Jersey,1128382,1120866,1112559
31,New Mexico,253821,253654,252862
32,New York,2679996,2666863,2650606
33,North Carolina,1163969,1176606,1187917
34,North Dakota,97244,96236,95161
35,Ohio,1572889,1560099,1545285
36,Oklahoma,489665,491815,495951
37,Oregon,467781,474463,481556
38,Pennsylvania,1625626,1608675,1593232
39,Rhode Island,144646,143399,142271
40,South Carolina,565387,567616,571779
41,South Dakota,105279,105013,105186
42,Tennessee,799343,802421,804038
43,Texas,3119898,3162591,3208436
44,Utah,368600,377428,384345
45,Vermont,80708,80169,79751
46,Virginia,1022806,1014373,1015030
47,Washington,832747,838839,844766
48,West Virginia,248374,245528,242202
49,Wisconsin,753946,751019,748854
50,Wyoming,69558,70387,69736
